#{"t_start": 1734429533.7552483, "env_id": "CustomLunarLander-v3"}
r,l,t
-2.002739,129,248.019239
-14.09935,123,248.811876
-38.472142,110,249.529966
-6.533016,153,250.525128
122.21898,1000,257.029494
16.947899,126,257.838622
-76.18021,98,258.50373
-1.939697,181,259.670403
-160.827918,194,260.948125
5.590284,249,262.555885
-19.634565,137,263.44653
-120.268984,241,265.014784
30.665209,156,266.001437
-58.173818,204,267.307135
-110.342716,213,268.659347
-175.41125,220,270.080558
201.286766,299,271.985377
-214.845515,116,272.739312
200.407622,333,274.90062
-51.271129,249,276.508862
-13.144543,176,277.669554
4.577946,323,279.760863
37.215259,120,280.515972
-256.017018,210,281.882181
-73.614067,202,283.175874
245.444602,513,286.512339
-44.433987,128,287.33212
-78.32423,377,289.810597
246.618464,302,291.796349
284.328313,349,294.108239
252.127393,470,297.283795
-127.219637,263,299.183068
-15.499283,148,300.248218
-52.497329,211,301.784012
20.872447,115,302.61164
22.106842,216,304.138871
-23.897079,162,305.32972
-4.164942,212,307.064986
-139.930569,207,308.558609
-89.248396,152,309.629779
-65.786636,123,310.493415
-187.037973,186,311.810105
-89.493117,236,313.510392
221.918701,581,317.658957
-49.351014,191,319.032157
-87.880257,119,319.889361
9.208874,98,320.587954
-114.016089,195,321.968328
35.488526,106,322.742312
1.653012,101,323.477398
-129.091996,199,324.916594
-83.861971,196,326.325313
-85.059565,207,327.803014
-64.550123,77,328.357599
-17.925853,142,329.375883
261.682203,359,332.018546
2.536056,140,333.119828
-41.633109,240,334.908604
-23.941982,141,335.937754
-169.886591,171,337.170472
267.000121,236,338.904184
-267.533307,374,341.631611
-282.583622,151,342.704245
27.7184,109,343.507878
41.034843,164,344.71497
32.56851,112,345.525589
154.909015,354,348.043944
-26.114727,225,349.724046
-19.269162,227,351.38483
70.049927,161,352.552081
207.839585,395,355.2589
222.02468,265,356.942162
-89.57747,129,357.774771
196.115332,285,359.623539
-85.668246,140,360.526676
-91.624532,172,361.650351
-5.782007,138,362.544006
-2.474079,145,363.476662
-120.731586,130,364.297363
-30.251509,243,365.873632
-83.534299,200,367.276856
-65.377784,137,368.202012
-66.012093,134,369.130165
266.321576,267,370.97912
-109.705141,140,371.96036
-22.897813,148,372.941573
8.248155,217,374.464812
-38.078272,94,375.138432
-2.243665,126,376.021645
-30.861815,221,377.558913
-50.633297,161,378.611077
-16.637666,183,379.953813
-10.616935,124,380.81445
-82.832949,228,382.351198
94.292859,177,383.494358
69.160926,165,384.582014
239.572152,376,386.988962
-51.076148,236,388.510661
-64.243606,194,389.775336
11.004512,131,390.639979
-110.775843,233,392.150715
-221.399852,544,395.621189
36.07697,172,396.749566
-139.414207,229,398.214781
-24.722197,285,400.02957
-80.407608,192,401.299243
7.914363,128,402.102858
-15.239228,199,403.407557
-90.09885,138,404.301198
-8.809991,146,405.237833
19.786766,195,406.500539
-183.363157,114,407.249662
20.11202,185,408.430846
33.506172,141,409.349972
-27.300242,160,410.389124
-166.898668,233,411.870868
12.019646,242,413.432613
-47.319999,154,414.429759
-149.404808,164,415.505442
-6.163329,200,416.78611
-8.519139,185,417.963276
9.513557,199,419.221961
213.010823,195,420.471299
-147.189484,379,422.949195
-7.385902,153,423.945355
42.53039,169,425.047032
-26.181165,92,425.635615
-102.054351,167,426.722265
-82.234154,110,427.445417
-100.460047,211,428.813565
190.662695,313,430.822392
9.437198,172,431.926068
-73.912141,178,433.076364
169.789682,280,434.879154
-72.511286,210,436.245862
-121.848519,157,437.281539
-247.910339,225,438.763277
-86.849002,186,439.967475
-3.148665,151,440.970119
44.250035,197,442.264817
12.203319,131,443.123766
-55.230223,146,444.09291
-1.677083,197,445.370625
-12.427678,198,446.65931
-44.064556,152,447.663681
6.844019,193,448.890847
-23.09545,133,449.755472
-242.309323,69,450.207524
-31.237521,222,451.61971
-82.609735,352,453.897545
212.921904,285,455.723803
255.681422,297,457.709108
215.656684,333,459.842426
-134.960773,108,460.56655
-7.562578,106,461.266178
-23.603842,118,462.024302
15.189592,250,463.704567
30.415691,168,464.811745
7.016808,103,465.50183
224.526996,292,467.418653
227.393976,470,470.658617
-61.550858,136,471.637243
-33.108091,192,473.006948
-115.392479,799,478.773779
-120.760012,145,479.821931
-163.999412,101,480.544535
-27.277257,114,481.380144
-26.605118,148,482.429301
-14.663179,261,484.304565
-115.371004,307,486.538886
-45.575015,153,487.641547
36.888034,161,488.814731
147.328789,635,493.377413
-68.773036,323,495.666225
7.413047,117,496.517836
-25.78436,185,497.866199
10.261892,133,498.814839
38.620153,152,499.907498
242.72662,304,502.083148
-291.249094,186,503.408347
-48.767571,122,504.282968
-13.317711,143,505.31563
32.869928,280,507.319906
-107.20375,142,508.351076
162.426618,575,512.481653
-124.714306,66,512.956708
-238.199279,253,514.759475
-241.952893,406,517.70938
198.945371,788,523.397011
16.346779,126,524.293622
-237.825734,246,526.034362
14.429989,144,527.081018
-9.121373,283,529.112287
183.055349,324,531.458138
-31.171063,104,532.206749
-63.305101,207,533.733974
241.772623,270,535.653733
-149.97951,67,536.147304
236.948304,413,539.08574
-70.117016,214,540.62947
-16.478519,153,541.736611
262.996589,198,543.167355
209.543839,258,545.007133
10.300195,234,546.674875
180.221541,293,548.74765
-7.795207,168,549.94881
20.61774,173,551.210473
214.158541,274,553.183743
250.384203,295,555.272794
253.168071,389,558.080782
-17.263668,213,559.612194
-178.366603,539,563.485741
-68.215242,179,564.74492
224.735253,240,566.471186
-92.220652,135,567.436815
144.424127,564,571.490926
189.795477,688,576.482101
-85.056411,275,578.451014
-39.522812,111,579.262653
-0.790136,198,580.687902
205.443853,418,583.701318
207.903888,275,585.674599
250.041941,596,589.965837
-161.676722,190,591.342019
29.277012,277,593.354804
172.099856,462,596.684943
-106.962027,507,600.322945
261.466191,427,603.394091
246.216585,651,608.087786
283.447547,254,609.931682
-16.745346,107,610.695295
47.968824,129,611.609454
-157.130959,349,614.095309
-140.147162,163,615.27047
-132.433277,172,616.483166
-43.688867,221,618.06288
142.3325,585,622.296997
242.965655,350,624.781993
-182.433294,353,627.322855
210.501442,403,630.223765
203.823469,267,632.164526
35.824483,133,633.129161
-18.218208,220,634.716904
-94.560938,153,635.838104
-186.908767,158,636.988746
15.963943,193,638.363428
223.091696,467,641.736818
-15.087348,289,643.810101
36.947036,106,644.56271
-25.823454,134,645.534874
-36.362796,170,646.757524
104.283228,584,650.964677
22.060236,168,652.172324
-32.840461,185,653.513513
34.954816,150,654.583661
-2.701877,288,656.663943
279.136862,295,658.797234
211.534574,446,662.012828
-72.281285,114,662.840428
241.548592,426,665.901868
203.068909,259,667.755608
38.168491,268,669.6799
-150.81013,200,671.154594
200.823716,588,675.355716
-50.615566,152,676.459857
269.240466,243,678.212121
-56.036272,478,681.659611
-85.543934,329,684.030116
-48.742212,341,686.465582
-6.942334,245,688.255
