#{"t_start": 1734419833.1969223, "env_id": "CustomLunarLander-v3"}
r,l,t
-129.840194,335,491.042951
-306.509967,491,495.394044
-120.28255,92,496.189353
-265.226854,231,498.19463
-108.980896,530,502.94194
-1.934978,247,505.08575
-220.607311,706,511.295024
-276.573041,343,514.316591
-137.418463,138,515.523749
-137.381086,199,517.270385
159.790943,452,521.250424
-44.883975,202,523.040671
-147.573429,243,525.210485
-52.111844,234,527.286782
-13.990689,265,529.601091
-245.817058,199,531.349289
25.914886,209,533.211052
-318.20435,496,537.633742
-92.079812,320,540.440125
-192.651962,183,542.077881
2.857918,196,543.80566
84.450457,1000,552.704623
-98.600291,178,554.27835
-25.667341,296,556.889949
-3.339294,186,558.541692
181.820067,421,562.272756
-29.898037,211,564.169055
-113.3705,198,565.947423
-218.959816,127,567.077704
-182.810684,226,569.103737
-23.398088,221,571.04204
-26.375497,419,574.748107
50.819559,144,576.036819
-115.006105,397,579.563906
118.198017,1000,588.413775
-232.598721,624,593.940415
-50.193033,386,597.326072
-191.27101,135,598.529236
202.318551,411,602.189742
-74.21179,244,604.345557
-245.527319,434,608.168591
-185.978309,456,612.205208
224.005273,430,616.015749
-108.386583,436,619.908789
-31.451637,78,620.610373
-10.413272,246,622.829875
-117.445862,210,624.696618
26.753435,171,626.238839
-289.079199,909,634.293661
17.742545,220,636.260449
-254.994393,542,641.074649
221.918532,629,646.659638
-120.522249,210,648.535944
-154.972076,204,650.375208
-227.715543,226,652.382531
-372.513584,542,657.178896
172.322615,258,659.480254
-245.00899,233,661.550073
-54.674721,439,665.508824
164.430331,557,670.463746
-352.04835,318,673.33166
-220.661523,234,675.418148
86.168361,703,681.718089
-108.370478,308,684.470609
202.544222,477,688.710737
-14.932924,450,692.751971
-109.01431,320,695.621028
-75.662769,387,699.075547
226.443447,251,701.301365
-142.179042,242,703.448166
26.784502,127,704.566965
-204.034196,671,710.529254
-154.574816,560,715.569832
-27.675455,287,718.133255
-31.384223,236,720.233071
-109.644538,616,725.713925
-3.04542,106,726.646563
-266.396458,264,729.059602
256.022855,315,731.88113
-280.745053,443,735.802681
-38.539333,83,736.539792
-98.561497,236,738.653244
-20.968614,231,740.701739
251.983895,486,745.069961
-168.125104,240,747.218444
-217.866131,198,748.983185
-101.703957,128,750.134373
-10.936473,179,751.729626
-281.094654,321,754.599563
-280.55258,231,756.657595
-50.955198,179,758.260538
-98.752558,425,762.041115
18.877187,263,764.370156
-45.008256,326,767.290084
-71.513908,219,769.2489
-10.96906,172,770.780629
-173.34764,379,774.159154
-206.881959,219,776.113433
-275.879264,409,779.737969
-259.757782,285,782.306853
-19.426664,84,783.074469
-87.649519,178,784.701711
-193.803454,297,787.359131
-7.669896,165,788.818852
-102.876376,553,793.702396
-73.696111,515,798.268123
-63.631325,383,801.654094
-27.416342,173,803.231489
-72.738447,239,805.390289
-87.254816,85,806.150397
-25.486242,128,807.297049
233.436554,461,811.454312
-244.66621,242,813.609142
-111.095889,464,817.739821
-79.946037,428,821.541044
-18.614225,459,825.609425
197.476824,421,829.341971
-36.272329,153,830.689867
-44.990424,441,834.60973
-67.529193,245,836.83358
-52.419646,273,839.291117
-226.804642,158,840.703825
175.847741,606,846.126721
-10.86984,188,847.787432
-173.167496,550,852.713339
-76.666487,285,855.270759
225.278477,357,858.461239
10.411255,230,860.624536
-224.385318,507,865.256035
-120.051295,723,871.74567
-108.551941,1000,880.639847
-271.255333,751,887.347333
-0.838811,241,889.537334
-104.989812,278,892.015233
-108.785467,194,893.777487
-149.621238,256,896.042183
-197.598746,213,897.968461
-35.446812,345,901.03691
-60.840289,444,905.030242
-115.269367,541,909.857086
-90.839448,547,914.762278
-361.173891,675,920.764121
-344.238254,371,924.065081
5.773608,286,926.659262
111.729157,953,935.210258
-31.970853,335,938.263422
-261.070786,257,940.575907
-118.881954,298,943.21682
200.2734,320,946.095446
-61.58666,212,947.974236
-38.802091,406,951.609719
266.865153,384,955.055761
-42.694256,85,955.817394
-268.42788,706,962.149076
47.358748,260,964.464918
-0.501873,276,966.901302
-69.633009,202,968.692594
-44.235814,279,971.177517
-411.684222,229,973.216833
-96.529513,439,977.130903
-264.354622,532,981.910585
-45.419184,469,986.101234
239.459823,546,990.977119
-281.25282,426,994.773686
-218.700324,265,997.132515
-69.936407,345,1000.250239
-40.491098,643,1006.02483
268.492456,441,1009.957096
-41.037632,429,1013.761141
217.128663,366,1017.055279
-19.609977,183,1018.712474
-63.860139,321,1021.605404
189.329257,702,1027.832371
-225.786425,387,1031.29543
-59.373024,299,1033.935828
-265.012908,495,1038.384007
-231.447671,227,1040.411983
18.676293,236,1042.544333
2.548105,198,1044.298133
-4.936333,193,1046.020399
-49.013035,162,1047.476631
-259.102452,198,1049.241385
-90.83843,406,1052.889111
179.17927,640,1058.534574
294.360284,370,1061.87026
204.044562,346,1064.96419
-13.010858,273,1067.404188
-29.156332,287,1069.999552
-25.161096,247,1072.198128
-30.667864,323,1075.093532
