Category,Timestep_5,Timestep_10,Timestep_15,Timestep_20,Timestep_25,Timestep_30,Timestep_35,Timestep_40,Timestep_45,Timestep_50,Timestep_55,Timestep_60,Timestep_65,Timestep_70,Timestep_75,Timestep_80,Timestep_85,Timestep_90,Timestep_95,Timestep_100,Timestep_105,Timestep_110,Timestep_115,Timestep_120,Timestep_125,Timestep_130,Timestep_135,Timestep_140,Timestep_145,Timestep_150,Timestep_155,Timestep_160,Timestep_165,Timestep_170,Timestep_175,Timestep_180,Timestep_185,Timestep_190,Timestep_195,Timestep_200,Timestep_205,Timestep_210,Timestep_215,Timestep_220,Timestep_225,Timestep_230,Timestep_235,Timestep_240,Timestep_245,Timestep_250,Timestep_255,Timestep_260,Timestep_265,Timestep_270,Timestep_275,Timestep_280,Timestep_285,Timestep_290,Timestep_295,Timestep_300,Timestep_305,Timestep_310,Timestep_315,Timestep_320,Timestep_325,Timestep_330,Timestep_335,Timestep_340,Timestep_345,Timestep_350,Timestep_355,Timestep_360,Timestep_365,Timestep_370,Timestep_375,Timestep_380,Timestep_385,Timestep_390,Timestep_395,Timestep_400,Timestep_405,Timestep_410,Timestep_415,Timestep_420,Timestep_425,Timestep_430,Timestep_435,Timestep_440,Timestep_445,Timestep_450,Timestep_455,Timestep_460,Timestep_465,Timestep_470,Timestep_475,Timestep_480,Timestep_485,Timestep_490,Timestep_495,Timestep_500,Timestep_505,Timestep_510,Timestep_515,Timestep_520,Timestep_525,Timestep_530,Timestep_535,Timestep_540,Timestep_545,Timestep_550,Timestep_555,Timestep_560,Timestep_565,Timestep_570,Timestep_575,Timestep_580,Timestep_585,Timestep_590,Timestep_595,Timestep_600,Timestep_605,Timestep_610,Timestep_615,Timestep_620,Timestep_625,Timestep_630,Timestep_635,Timestep_640,Timestep_645,Timestep_650,Timestep_655,Timestep_660,Timestep_665,Timestep_670,Timestep_675,Timestep_680,Timestep_685,Timestep_690,Timestep_695,Timestep_700,Timestep_705,Timestep_710,Timestep_715,Timestep_720,Timestep_725,Timestep_730,Timestep_735,Timestep_740,Timestep_745,Timestep_750,Timestep_755,Timestep_760,Timestep_765,Timestep_770,Timestep_775,Timestep_780,Timestep_785,Timestep_790,Timestep_795,Timestep_800,Timestep_805,Timestep_810,Timestep_815,Timestep_820,Timestep_825,Timestep_830,Timestep_835,Timestep_840,Timestep_845,Timestep_850,Timestep_855,Timestep_860,Timestep_865,Timestep_870,Timestep_875,Timestep_880,Timestep_885,Timestep_890,Timestep_895,Timestep_900,Timestep_905,Timestep_910,Timestep_915,Timestep_920,Timestep_925,Timestep_930,Timestep_935,Timestep_940,Timestep_945,Timestep_950,Timestep_955,Timestep_960,Timestep_965,Timestep_970,Timestep_975,Timestep_980,Timestep_985,Timestep_990,Timestep_995,Timestep_1000
Best,-2.9044549327329605,-1.2100088081511582,5.293274173398647,11.382706019361638,5.415936130975982,-1.020058309685023,-2.430713658078738,6.541483000724581,20.718519459073207,34.08266633681262,43.84151560426144,53.427170404940796,63.62432447592294,62.18793329114115,63.41865579537674,64.20246474113814,69.88065948834678,66.48019613779353,64.97181675434895,63.57525167775323,64.50371382477032,67.83300872567945,74.2060126427928,79.46567311376266,90.31390129822273,92.53411516282124,95.89693789545463,97.31833814571456,93.9102627467536,92.80977926140186,103.95214684693703,118.02698461858795,131.11663243111963,185.70143086567458,196.90906314867436,191.2094528169604,182.7066751571113,184.54913376851275,195.23567332588112,177.24212741158792,188.1354135467143,198.71204309294058,177.1010095091946,190.59231146890554,199.67251011257406,188.70771325995986,188.82891209920035,200.33521022417492,188.38536491098608,199.46852829877415,200.14542893423175,199.096320797165,198.27753090937304,186.28696461694656,188.52020784159944,188.65118124655638,188.66200247872163,188.66260378492336,188.66263495584616,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332,288.6626353099332
Worst,-1.2726791246877303,0.17076688118344796,-3.9321370073094206,-4.343550055016474,-5.7571749544381525,-11.31379124092938,-15.62915904652485,-20.22028284155601,-23.614236298936973,-24.557415407429485,-31.410485967902407,-39.81606591576828,-47.93228086350952,-56.61825025455131,-65.8372979059442,-75.6587381662393,-86.29870199637396,-98.18111654488446,-112.51474969276578,-133.5293103796105,-153.87159389474002,-110.51181235965262,-182.7931424752605,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653,-375.97508828185653
Mean,1.1433325409713768,2.134994103439805,2.134169441056494,2.514398967043192,3.31675774939593,4.732625147619476,7.313616308682816,10.271978506490962,13.39454790635359,16.549054808832643,19.36559044569721,22.049862160383363,24.38227063877498,26.681180502497824,28.365771993831476,29.858168716029073,31.28008830683042,31.81463013088236,32.9010990641207,33.48421749494473,34.05211830160163,34.32855916115062,34.07096038452401,33.17265878255629,33.63057252514113,34.7673654882713,34.278134897354136,34.075476581465104,35.154618400734066,36.16869027329669,37.98448221563935,38.61242826944383,40.65290954795082,42.15879051404868,43.21235465993503,44.07463133211216,45.72910922072698,45.92722376934835,47.023981831517865,48.944098809210054,51.06601204180254,52.51562099611516,54.06717803355757,55.73584305382264,56.49339817383897,57.90504764526308,60.55567979906005,60.842951160773644,62.23110105669826,64.30636889136764,65.76573989063732,67.30391903904503,70.24118908108122,71.44613846570151,73.23823164414205,74.11655195348973,75.45742867926975,77.12686999165275,77.66396130158942,80.03514443136714,81.33046174705187,82.85905113040329,84.88473816267312,86.16378113029765,87.04796688257291,87.79088718726493,89.0964055039093,89.78398368549918,91.20202052778727,91.67838584941882,93.42379702653857,95.00267199219687,96.02554249834873,96.22304192744888,96.95259774929187,97.66431375543554,98.37955141823613,99.01956277703344,99.12632559676656,99.94923483731436,100.7598338852027,101.0618026916759,101.47314537578177,102.19400435697781,102.82174030999256,103.4125050926757,103.98074851772249,104.47829254206702,104.36870619682821,104.58083871287518,104.90178721007028,104.82493978638858,105.08477719291197,105.44051726975404,106.03358370564139,106.68908989491038,107.63265288206831,107.15977505447519,107.57576526383541,108.23253611190039,108.46564041834147,108.41203148202209,108.39885661667421,109.15973556057496,109.61621835986935,110.48989411481033,110.14133899678245,110.6447470324168,110.28465675761278,111.1470501822273,110.92141339628569,110.86774614318416,111.25076695338211,110.99120418022274,111.36560016162284,111.77095865399619,112.18235578125596,112.00050439895259,111.9558761216415,111.88887928501147,112.36321078877344,112.47067493584711,112.48924057165073,112.96969125878184,112.62620970768242,112.66474047582851,112.25498409937266,112.55477452386533,112.82654764036178,112.54060381862176,112.81583179017971,112.54289288509662,112.48480310402486,112.19819349131373,112.24615801675532,111.92001169106227,112.44974429261065,112.30471421634712,111.97006067196625,112.22651783978132,112.00764924714318,111.98534558095733,112.45103774408012,112.31612558613111,112.15577436785105,111.90778588878068,111.71036528444078,112.00811717556391,112.12731569196636,111.87058411237787,111.99520814537024,111.74214747739069,111.77949470735078,111.63424017668898,112.25446392094973,111.98840268774255,111.22142104402562,111.77575184343752,111.34651878739797,111.3891050505449,111.78552949119928,111.52962889454439,111.8671614448872,111.46964549686867,111.62706785632753,111.53452948402845,111.5885294573054,111.37972411126322,111.29127832902758,111.29141313512041,111.30835488161226,111.24312104352896,111.2969716658212,111.32522858733931,110.73836762803498,111.04552639263997,111.06018376661176,111.14841228642477,111.0619041833505,110.84049270224855,111.0758819113202,110.82994072379837,110.75536638056802,111.20082249729568,111.25608914953084,111.07553727707005,110.94511304122773,110.65441942726814,110.94462746047294,110.93466665805603,110.60736319058016,110.60672603587079,110.79760650996229,110.91731750353537,110.66220047250496,110.65635655364721,110.91806435443024,110.8363332677644,111.11198583996087,110.69257235911564
