Category,Timestep_5,Timestep_10,Timestep_15,Timestep_20,Timestep_25,Timestep_30,Timestep_35,Timestep_40,Timestep_45,Timestep_50,Timestep_55,Timestep_60,Timestep_65,Timestep_70,Timestep_75,Timestep_80,Timestep_85,Timestep_90,Timestep_95,Timestep_100,Timestep_105,Timestep_110,Timestep_115,Timestep_120,Timestep_125,Timestep_130,Timestep_135,Timestep_140,Timestep_145,Timestep_150,Timestep_155,Timestep_160,Timestep_165,Timestep_170,Timestep_175,Timestep_180,Timestep_185,Timestep_190,Timestep_195,Timestep_200,Timestep_205,Timestep_210,Timestep_215,Timestep_220,Timestep_225,Timestep_230,Timestep_235,Timestep_240,Timestep_245,Timestep_250,Timestep_255,Timestep_260,Timestep_265,Timestep_270,Timestep_275,Timestep_280,Timestep_285,Timestep_290,Timestep_295,Timestep_300,Timestep_305,Timestep_310,Timestep_315,Timestep_320,Timestep_325,Timestep_330,Timestep_335,Timestep_340,Timestep_345,Timestep_350,Timestep_355,Timestep_360,Timestep_365,Timestep_370,Timestep_375,Timestep_380,Timestep_385,Timestep_390,Timestep_395,Timestep_400,Timestep_405,Timestep_410,Timestep_415,Timestep_420,Timestep_425,Timestep_430,Timestep_435,Timestep_440,Timestep_445,Timestep_450,Timestep_455,Timestep_460,Timestep_465,Timestep_470,Timestep_475,Timestep_480,Timestep_485,Timestep_490,Timestep_495,Timestep_500,Timestep_505,Timestep_510,Timestep_515,Timestep_520,Timestep_525,Timestep_530,Timestep_535,Timestep_540,Timestep_545,Timestep_550,Timestep_555,Timestep_560,Timestep_565,Timestep_570,Timestep_575,Timestep_580,Timestep_585,Timestep_590,Timestep_595,Timestep_600,Timestep_605,Timestep_610,Timestep_615,Timestep_620,Timestep_625,Timestep_630,Timestep_635,Timestep_640,Timestep_645,Timestep_650,Timestep_655,Timestep_660,Timestep_665,Timestep_670,Timestep_675,Timestep_680,Timestep_685,Timestep_690,Timestep_695,Timestep_700,Timestep_705,Timestep_710,Timestep_715,Timestep_720,Timestep_725,Timestep_730,Timestep_735,Timestep_740,Timestep_745,Timestep_750,Timestep_755,Timestep_760,Timestep_765,Timestep_770,Timestep_775,Timestep_780,Timestep_785,Timestep_790,Timestep_795,Timestep_800,Timestep_805,Timestep_810,Timestep_815,Timestep_820,Timestep_825,Timestep_830,Timestep_835,Timestep_840,Timestep_845,Timestep_850,Timestep_855,Timestep_860,Timestep_865,Timestep_870,Timestep_875,Timestep_880,Timestep_885,Timestep_890,Timestep_895,Timestep_900,Timestep_905,Timestep_910,Timestep_915,Timestep_920,Timestep_925,Timestep_930,Timestep_935,Timestep_940,Timestep_945,Timestep_950,Timestep_955,Timestep_960,Timestep_965,Timestep_970,Timestep_975,Timestep_980,Timestep_985,Timestep_990,Timestep_995,Timestep_1000
Best,0.7652234861469083,5.79805502078847,2.960214877124851,-4.4857613510125045,-18.931375773980726,-29.25462027365884,-32.72623800118976,-28.783940456017877,-22.357199567038162,-6.805955318529271,11.731489097068692,32.538522894577504,57.01857463178206,62.816335453722495,44.10012802353136,23.044170067915708,7.102835169912465,1.426878095527058,10.508711911679164,25.432664980057663,48.53501101439046,74.07335840074424,63.89021460266655,62.098547704911354,66.17701956388751,76.97745595035795,92.4057860221385,112.95161988162278,114.15049706202149,113.70978695697617,127.71247499631623,165.61115870780407,188.96155072079605,197.32907214693566,200.76975034691068,204.03714917673372,206.50490395927343,208.73149362118352,213.05619483827405,216.41042162195913,216.86786193418155,216.88753274021317,216.88375071167007,216.87882911994993,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085,316.8738003256085
Worst,-4.181557129421189,-6.094348026205505,-5.241365843379013,0.24509277475081648,8.430798726540154,7.336206233612675,-6.014006695947821,-10.183886107923497,-9.224363529322085,0.6759410884558164,9.487392297735513,25.695149889945597,35.11057391167951,43.705169860138874,37.60599986586322,27.41889956118431,19.379918203799956,14.617936847003858,15.925374438889957,17.20751819641416,18.32368224431833,22.825880079231077,27.34723557824997,39.83591322050866,54.1415846593966,74.90150251330664,74.5544810375035,54.34114204089795,34.24936956469389,21.14730830824052,3.2268280209125724,-25.297089882557632,-10.6237667649498,-76.33274089786977,-123.13610818711209,-169.18482520626293,-214.27469002257033,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809,-314.306197150809
Mean,1.5395456627631239,0.9649093347166298,-2.9285860670013433,-7.60449208019261,-11.20460770134315,-11.963386118099288,-9.483362210598838,-4.1618821059949385,2.801527083800717,9.445141339487222,14.581312969038033,16.570053859430413,14.833764882868511,13.223866960458617,11.969080311141164,12.45286847118997,12.949624418090314,12.817213556391959,16.17435875415944,19.85472395198703,21.747151928077294,22.89758792624262,24.115980054515894,22.370083425871552,18.79075677939442,16.906681541868174,12.808848009570783,9.620566527263588,7.444690814299436,5.498969769762292,2.7890830462077685,2.4240555720520107,2.642764831012874,2.0532260037735077,1.6974753710573847,1.135358867533851,1.1801262313299126,1.5113518628578564,1.9626855541500963,1.8208366999401988,1.989227961447925,2.0871364642525925,2.6080297279549742,3.2737755862873863,3.878221438967558,4.7094758383130335,5.175688209470693,5.581767847591193,6.366360164853686,6.778550287473369,6.965718815304291,7.934967403513943,8.147902432219928,8.778645506608942,9.036016733305384,9.690027881360697,9.890921867843229,10.242861417163253,10.22996643932295,10.212239053908672,10.208305440539151,10.220282969547393,10.436033033202289,10.658086682802614,10.900292863207577,10.909977573879111,10.924729180911523,10.938830993173555,10.952893662866025,10.956244152438655,10.955572482655166,10.954556940115587,10.953120051694725,11.14629421752342,11.341502089259608,11.33406704353217,11.532197820672067,11.524153650380438,11.520449053067248,11.502987766339462,11.50206094215863,11.491504130255358,11.501735683719845,11.4993462525777,11.493547909550944,11.479799751066777,11.464614915472106,11.656896033243942,11.673662834248605,11.649106610444617,11.648204536717673,11.649387572011129,11.648227536320904,11.647131983450327,11.645333105946618,11.640398197655587,11.833391968053627,11.848788215909707,12.24805989631935,12.252317289491705,12.270719823979038,12.284926749252762,12.293141105564072,12.291870935306724,12.29025532687403,12.289220997228611,12.288576403715139,12.488264055278545,12.489651537563768,12.489816720627532,12.491321334932625,12.49299276148513,12.495443548069376,12.498206443260013,12.503678061414513,12.708111256115618,12.708261726887638,12.707964120581801,12.707257448371598,12.706992213716173,12.907334225316397,12.907312515399783,12.90705886798623,12.906894459669646,12.905232512473,12.906522662255924,12.906260554867458,12.906205749712296,12.904911831637975,12.905484541497076,12.90564262937946,12.905365986587872,12.905179260472483,12.90506048648312,12.904670277911638,12.904619305678079,12.903177390793383,12.902638267774044,12.904195916911863,12.9039829219342,12.903087225567658,12.902099386753875,12.903432288687535,12.902841890604858,12.902579737306684,12.902771834160713,12.902701739868055,12.902488255470354,12.902287310229752,12.90217745401652,12.900938129383892,12.900114675820653,12.900743648156254,12.901426633684492,12.901136316391927,12.901065038190103,12.900893350187424,12.899481031641445,12.900471121929812,12.900038016078215,12.899983785899899,12.899290186728594,12.899578972097494,12.898627942607007,12.899111909185788,12.899230202341762,12.898661396382941,12.897909520648922,12.897886682442978,12.897193979612092,12.896705415022677,12.89607918070387,12.897564944105467,12.897838222122108,12.897639640583712,12.897063984875604,12.896578719378576,12.896890202255225,12.895814786222127,12.895153712191565,12.895772338733222,12.896372990124794,12.896211445292035,12.895995593949559,12.895874386054874,12.895542654388114,12.895369335204094,12.895255374360294,12.893468849302844,12.89441722944966,12.894627808339298,12.894335192071674,12.894276652303052,12.893173206734092,12.891919820004322,12.892201715842118,12.89292582871474,12.893075689216344,12.893196166067053,12.893029398252947
